,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match
64,9/17/2022,Tottenham,6,2,16,11,9,6,1,0,W,2.8,1.2,15.2,6.8,10.4,5.8,2.4,0,9/17/2022,Leicester,2,2,19,7,9,1,2,0,L,1.2,0.6,13.2,4,8,4,1.4,0
65,9/18/2022,Brentford,0,0,5,2,10,3,0,0,L,1.2,0.2,10.8,3.6,7.6,5.2,1.2,0,9/18/2022,Arsenal,3,2,13,7,10,3,2,0,W,2.4,1.2,16.2,6.4,9.4,6.2,1.8,0
66,9/18/2022,Everton,1,0,7,2,8,5,3,0,W,0.8,0.4,11,4.6,9,4.4,2.8,0,9/18/2022,West Ham,0,0,14,4,11,14,1,0,L,0.4,0,10.8,2.8,9.8,5,1,0
67,10/1/2022,Arsenal,3,1,22,9,10,5,2,0,W,2,1,19.5,5.75,10.75,6.25,2.25,0,10/1/2022,Tottenham,1,1,7,3,10,2,1,1,L,1.6,0.8,11.4,4.4,11.6,4.2,2.4,0.2
68,10/1/2022,Bournemouth,0,0,7,1,11,7,1,0,D,0.25,0.25,9.25,2.75,9.25,4.75,1.5,0,10/1/2022,Brentford,0,0,13,4,10,8,2,0,D,1.25,0.75,10.25,3.75,9.5,5,1.5,0
69,10/1/2022,Crystal Palace,1,1,7,3,11,5,1,0,L,0.4,0.2,10.4,3.6,12.2,5.6,2.4,0,10/1/2022,Chelsea,2,1,13,3,13,2,3,0,W,0.8,0.2,13.4,4.4,11.4,5.6,2.2,0.2
70,10/1/2022,Fulham,1,0,3,1,9,1,2,1,L,0.8,0.4,7.4,2.2,11.2,3.4,3.2,0.2,10/1/2022,Newcastle,4,3,19,10,10,8,0,0,W,1.25,0.75,15.75,5.75,9.75,9.5,1.75,0
71,10/1/2022,Liverpool,3,1,15,7,9,9,1,0,D,1,0.25,13,4.5,12,6,2.5,0,10/1/2022,Brighton,3,2,6,6,13,2,1,0,D,3,1,13.5,6.75,10,4.25,1,0
72,10/1/2022,Southampton,1,0,22,6,11,7,2,0,L,0.75,0,12.75,4,15.75,4.75,2,0,10/1/2022,Everton,2,0,12,5,10,6,2,0,W,1,0.25,9.75,3.75,7.75,6.5,1.5,0
73,10/1/2022,West Ham,2,1,18,5,8,1,2,0,W,1.5,1,15,3.75,10.5,2.25,1.5,0,10/1/2022,Wolves,0,0,15,4,6,6,2,0,L,0.5,0.25,13,3,9.5,6.25,1.75,0
74,10/2/2022,Man City,6,4,22,10,3,5,0,0,W,2.8,1,15.8,6.4,7.8,5.2,0.6,0,10/2/2022,Man United,3,0,12,8,9,1,3,0,L,2,0.4,15.8,6,10.2,4.6,1.8,0
75,10/2/2022,Leeds,0,0,9,1,23,2,3,1,D,0.6,0.2,12.8,4,12.4,5.8,2,0.2,10/2/2022,Aston Villa,0,0,19,7,12,9,2,0,D,0.6,0.2,15.6,5,11.6,5.8,1.6,0
76,10/3/2022,Leicester,4,3,17,7,13,6,2,0,W,2,1.4,10.2,4.4,12.8,4.4,1.4,0,10/3/2022,Nott'm Forest,0,0,10,3,12,6,4,0,L,0.4,0.2,7.8,3,13.2,3,2.4,0
77,10/8/2022,Bournemouth,2,0,10,4,8,7,1,0,W,1.2,0.6,9.2,4,9.6,4.4,1,0,10/8/2022,Leicester,1,1,9,5,16,2,2,0,L,2.2,1.6,9.2,4.4,12.4,3,1.4,0
78,10/8/2022,Chelsea,3,1,20,7,8,4,2,0,W,1.4,0.4,12.6,5,8,4,1.6,0,10/8/2022,Wolves,0,0,8,2,8,2,0,0,L,0.6,0.2,12.4,3.4,14,4.8,1.6,0.2
